"Time","Busy System","Busy User","Busy Iowait","Busy IRQs","Busy Other","Idle"
2024-12-16 11:12:30,0.150%,0.192%,0.00833%,0.0208%,0%,99.6%
2024-12-16 11:12:45,0.301%,0.675%,0.0895%,0.0325%,0%,96.5%
2024-12-16 11:13:00,0.442%,1.53%,0.00833%,0.200%,0%,97.6%
2024-12-16 11:13:15,0.464%,0.891%,0.00814%,0.126%,0%,95.9%
2024-12-16 11:13:30,0.658%,1.44%,0.00417%,0.208%,0%,97.5%
2024-12-16 11:13:45,0.530%,0.877%,0.00816%,0.159%,0%,96.3%
2024-12-16 11:14:00,0.625%,0.842%,0.00417%,0.246%,0%,98.2%
2024-12-16 11:14:15,0.464%,0.859%,0.00814%,0.134%,0%,96.1%
2024-12-16 11:14:30,0.688%,0.812%,0.00417%,0.133%,0%,98.2%
2024-12-16 11:14:45,0.704%,0.745%,0.00407%,0.195%,0%,95.9%
2024-12-16 11:15:00,0.683%,0.950%,0.00417%,0.329%,0%,98.1%
2024-12-16 11:15:15,0.525%,0.839%,0.00407%,0.293%,0%,96.1%
2024-12-16 11:15:30,0.738%,0.771%,0.00417%,0.208%,0%,98.1%
2024-12-16 11:15:45,0.550%,0.672%,0.00815%,0.220%,0%,96.1%
2024-12-16 11:16:00,0.675%,0.667%,0.00417%,0.383%,0%,98.1%
2024-12-16 11:16:15,0.575%,0.799%,0.00815%,0.134%,0%,96.0%
2024-12-16 11:16:30,0.667%,0.883%,0.00417%,0.312%,0%,98.1%
2024-12-16 11:16:45,0.725%,0.753%,0.0122%,0.228%,0%,96.0%
2024-12-16 11:17:00,0.625%,0.888%,0.00833%,0.183%,0%,98.1%
2024-12-16 11:17:15,0.665%,0.803%,0.00811%,0.357%,0%,96.0%
2024-12-16 11:17:30,0.774%,0.929%,0.00837%,0.264%,0%,98.0%
2024-12-16 11:17:45,0.667%,0.825%,0.00417%,0.250%,0%,98.2%
2024-12-16 11:18:00,0.662%,0.908%,0.00417%,0.208%,0%,98.2%
2024-12-16 11:18:15,0.754%,0.892%,0.00417%,0.287%,0%,98.0%
2024-12-16 11:18:30,0.429%,0.571%,0.00833%,0.196%,0%,98.6%
2024-12-16 11:18:45,0.675%,0.892%,0.00417%,0.292%,0%,98.2%
2024-12-16 11:19:00,0.421%,0.583%,0.00417%,0.125%,0%,98.9%
2024-12-16 11:19:15,0.413%,0.658%,0.00417%,0.163%,0%,98.7%
2024-12-16 11:19:30,0.443%,0.573%,0%,0.188%,0%,98.9%
2024-12-16 11:19:45,0.367%,0.408%,0.00833%,0.133%,0%,98.9%
2024-12-16 11:20:00,0.442%,0.579%,0.00833%,0.0958%,0%,98.7%
2024-12-16 11:20:15,0.417%,0.575%,0.00833%,0.142%,0%,98.7%
2024-12-16 11:20:30,0.504%,0.679%,0.00417%,0.225%,0%,98.6%
2024-12-16 11:20:45,0.421%,0.562%,0.00833%,0.146%,0%,98.8%
2024-12-16 11:21:00,0.334%,0.675%,0%,0.100%,0%,98.8%
2024-12-16 11:21:15,0.475%,0.654%,0.00417%,0.138%,0%,98.6%
2024-12-16 11:21:30,0.417%,0.529%,0.00833%,0.154%,0%,98.8%
2024-12-16 11:21:45,0.479%,0.588%,0.0125%,0.179%,0%,98.7%
2024-12-16 11:22:00,0.450%,0.642%,0.0125%,0.117%,0%,98.6%
2024-12-16 11:22:15,0.571%,0.733%,0.00417%,0.237%,0%,98.4%
2024-12-16 11:22:30,0.388%,0.562%,0%,0.125%,0%,98.7%
2024-12-16 11:22:45,0.408%,0.567%,0.0125%,0.133%,0%,98.8%
2024-12-16 11:23:00,0.438%,0.663%,0.00417%,0.158%,0%,98.6%